Tipo de domicilio,Tipo de vialidad,Nombre de vialidad,Número exterior,Número interior,Tipo de asentamiento humano,Nombre del asentamiento humano,Código Postal,Nombre de la localidad,Nombre del Municipio o Delegación,Nombre del Estado o el Distrito Federal,Vialidad posterior (opcional),Descripción de ubicación (opcional),Latitud,Longitud,Horario de atención inicio,Horario de atención término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de recepción inicio,Horario de recepción término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Horario de entrega inicio,Horario de término,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Todos los trámites
HGZMF   29 S. JUAN ARAGON,Avenida,Av. 510 ,100,,,Col. Unidad San Juan de Aragón ,7920,Gustavo A. Madero , D.F. ,D.F.,,,19.4651154,-99.0858543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      61 CORDOBA,Avenida,Av. 6,S/N,,,Col.  ,94500,Córdoba Sur, Veracruz Sur, Veracruz Sur,,,18.8936076,-96.9296606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      35 C.7 ZARAGOZA,Avenida,Av. 7 ,200,,,Col. Pantitlán ,8100,Iztacalco , D.F. ,D.F.,,,19.4189151,-99.0563128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF 24 NUEVA ROSITA,Avenida,Av. Adolfo López Mateos,S/N,,,Col. Centro ,26860,Nueva Rosita,  Coahuila,Coahuila,,,27.9348033,-101.2141288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   1 CHETUMAL,Avenida,Av. Adolfo López Mateos ,S/N,,,Col. Campestre ,77020,Othón P. Blanco, Quintana Roo,Quintana Roo,,,18.5001889,-88.296146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   2 LA GARITA,Avenida,Av. Adolfo Ruiz Cortinez,No.120,,,Col. La Garita ,39410,Acapulco, Guerrero,Guerrero,,,16.9091843,-99.9564097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  7  SAN MARCOS,Avenida,Av. Aguascalientes ,603,,,Col. Fraccionamiento San Marcos ,20078,Aguascalientes, Aguascalientes,Aguascalientes,,,21.8878883,-102.3168109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   4 E. DURANGO,Avenida,Av. Allende,S/N,,,Ejido Durango,21735,Mexicali, Baja California Norte,Baja California,,,32.6210272,-115.491001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   3  CD. INSURGENTES,Avenida,Av. Allende,S/N,,,Col. Centro ,23700,Cd. Insurgentes, Baja California Sur,Baja California Sur,,,26.0707889,-111.8442001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      17 CHOIX,Avenida,Av. Álvaro Obregón,S/N,,,Col. Centro ,81700,Choix , Sinaloa,Sinaloa,,,26.7067957,-108.3251469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   10  SANTA LUCIA,Avenida,Av. Álvaro Obregón ,293,,,Col. Santa Lucia ,24020,Campeche,Campeche,Campeche,,,19.8449718,-90.5097069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  45 RODRIGO M. QUEV,Avenida,Av. Álvaro Obregón ,S/N,,,,,,,Chihuahua,,,32.4908067,-114.8059624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   5 NOGALES,Avenida,Av. Álvaro Obregón ,756,,,Col. Centro ,84000,Nogales, Sonora,Sonora,,,31.3085642,-110.9434486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 23 SABINAS,Avenida,Av. Amador Chapa,S/N,,,Col. Centenario ,26750,Sabinas, Coahuila,Coahuila,,,27.853264,-101.1150302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       195 CHALCO,Avenida,Av. Aquiles Serdán ,S/N,,,Col. Emiliano Zapata,,,, Edo. México Oriente,,,19.2771753,-98.8911071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      20 V. JUAREZ,Avenida,Av. Arturo B. de la Garza ,S/N,,,Col.  ,67250,Ciudad Juárez, Nuevo León,Nuevo León,,,25.642665,-100.1086654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     182 EL SOL,Avenida,Av. Aureliano ramos,S/N,,,Col. El Sol,,,, Edo. México Oriente,,,19.4321526,-99.0396568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      37  LIBRES,Avenida,Av. Ávila Camacho ,1299,,,Col. Guadalupe ,73780,Libres, Puebla,Puebla,,,19.4678051,-97.6844525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH    15 JUAN JOSE RIOS,Avenida,Av. Batequis ,S/N,,,Col. Centro ,81111,Juan José Ríos , Sinaloa,Sinaloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   27  FRONTERA,Avenida,Av. Belisario Domínguez,S/N,,,Col. Centro ,30140,Frontera Comalapa, Chiapas,Chiapas,,,15.657497,-92.141915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 32  SAN JOSE  DE AURA,Avenida,Av. Benito Juárez,S/N,,,Col. Zona Centro ,25430,El Progreso, Coahuila,Coahuila,,,27.4280199,-100.9877821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  14  B.TORTUGAS,Avenida,Av. Benito Juárez ,49,,,,23950,Bahía Tortugas, Baja California Sur,Baja California Sur,,,26.8916667,-111.9808333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  15  B.ASUNCION,Avenida,Av. Benito Juárez ,S/N,,,,23940,Bahía Asunción, Baja California Sur,Baja California Sur,,,26.8916667,-111.9808333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  18 COLIMA,Avenida,Av. Benito Juárez ,"118,",,,Col. Alta Villa.  ,28987,Villa de Alvarez, Colima,Colima,,,19.2420615,-103.7484816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    64 TEQUESQUINAHUAC,Avenida,Av. Bomberos ,S/N,,,Unidad Habitacional Tequexquinahuac,,,, Edo. México Oriente,,,19.5589366,-99.2009407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     68 HERMOSILLO C/UMMA 68,Avenida,Av. Calesa,S/N,,,Fracc. Renacimiento,83296,Hermosillo, Sonora,Sonora,,,29.0055259,-110.9461929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      75 MORELIA ,Avenida,Av. Camelinas ,1901C,,,Col.  ,58070,Morelia,Michoacán,Michoacán,,,19.6816907,-101.1775789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  5   CD. HIDALGO,Avenida,Av. Central,S/N,,,Col. Centro ,30840,Cd. Hidalgo, Chiapas,Chiapas,,,14.8809763,-92.2542238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  7   MAZATAN,Avenida,Av. Central,S/N,,,Col. Centro ,30650,Mazatán, Chiapas,Chiapas,,,14.86,-92.4475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      92 CD.AZTECA,Avenida,Av. Central ,S/N,,,Col. Ladera del Peñón,,,, Edo. México Oriente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   5 ZACATEPEC,Avenida,Av. Central entre N. Héroes ,S/N,,,,,,,Morelos,,,17.0838014,-96.6958795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF     43  VILLAHERMOSA,Avenida,Av. César A. Sandino ," 102, ",,,Col. Primero de Mayo ,86190,Villahermosa , Tabasco,Tabasco,,,17.9758608,-92.935095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  23 APASEO GRANDE,Avenida,Av. Chapultepec,S/N,,,Col. Pedregal ,38160,Apaseo el Grande, Guanajuato,Guanajuato,,,20.5446948,-100.6844284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   8 CD. SAHAGUN,Avenida,Av. Circunvalación,S/N,,,Col. Centro ,43990,Tepeapulco, Hidalgo,Hidalgo,,,19.778962,-98.5531872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       6 MERCED,Avenida,Av. Circunvalación ,S/N,,,Col. Merced Balbuena ,15810,Venustiano Carranza , D.F. ,D.F.,,,19.4205826,-99.1248628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      15 CANCUN,Avenida,Av. Coba ,S/N,,,Col. Centro ,77500,Benito Juárez, Quintana Roo,Quintana Roo,,,21.1537335,-86.8421727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   8 SANTA ROSALIA,Avenida,Av. Colegio Militar,S/N,,,Col. Centro,23920,Santa Rosalía, Baja California Sur,Baja California Sur,,,26.8916667,-111.9808333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  34 GUADALAJARA,Avenida,Av. Colón ,S/N,,,Fracc. 18 de Marzo,44950,Guadalajara, Jalisco,Jalisco,,,20.6413162,-103.3742367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  13 CAMPECHE,Avenida,Av. Concordia,112,,,Cd. Concordia,24085,Campeche, Campeche,Campeche,,,19.833909,-90.4995646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  8 STA.BARBARA,Avenida,Av. Constitución,S/N,,,Col Felipe Ángeles,,,,Chihuahua,,,22.1353362,-100.9662978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    25 TAMAZULA,Avenida,Av. Constitución,S/N,,,Col. Centro ,81170,Tamazula , Sinaloa,Sinaloa,,,25.5666987,-108.4673051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      11 PARAJE NUEVO,Avenida,Av. Constitución,S/N,,,Col.  ,94940,Amatlán de los Reyes Sur, Veracruz Sur, Veracruz Sur,,,18.85,-96.9147222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFIS    1 MONTERREY,Avenida,Av. Constitución ,S/N,,,Col.  ,64010,Monterrey, Nuevo León,Nuevo León,,,25.685387,-100.2577553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      54 MAHUIXTLAN,Avenida,Av. Constitución ,S/N,,,,91608, Mahuixtlán Norte, Veracruz Norte, Veracruz Norte,,,19.4531616,-96.9584922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   2 MONTERREY,Avenida,Av. Constitución Ote,S/N,,,Col.  ,64010,Monterrey, Nuevo León,Nuevo León,,,25.685387,-100.2577553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      16 QUERETARO,Avenida,Av. Constituyentes ,118 Orient,,,Col. Centro ,76047,Querétaro, Querétaro,Querétaro,,,20.5882244,-100.367705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      22 PALMA SOLA,Avenida,Av. Cristo Rey,S/N,,,,91477,Palma Sola, Veracruz Norte, Veracruz Norte,,,21.3615861,-98.2383886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  9   ACAPULCO,Avenida,Av. Cuauhtémoc ,95,,,Col. Centro ,39300,Acapulco, Guerrero,Guerrero,,,16.8585762,-99.89711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      57 VERACRUZ,Avenida,Av. Cuauhtémoc esquina Raz,S/N,,,Col. Formando Hogar ,91810,Veracruz Norte, Veracruz Norte, Veracruz Norte,,,19.213501,-96.1752377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      79 V.CEYLAN,Avenida,Av. Cuernavaca,S/N,,,,,,, Edo. México Oriente,,,19.0256551,-99.2677085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  10  AGUASCALIENTES,Avenida,Av. De la Convención Norte,S/N,,,Col. Gremial ,20270,Aguascalientes, Aguascalientes,Aguascalientes,,,21.866128,-102.2868901,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  34 JARAL PROGRESO,Avenida,Av. de la Juventud,S/N,,,Col. Centro ,38470,Jaral del Progreso, Guanajuato,Guanajuato,,,20.3717492,-101.0622438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF  2 IRAPUATO,Avenida,Av. de la Reforma,S/N,,,Fracc. Gámez,36650,Irapuato, Guanajuato,Guanajuato,,,20.6646824,-101.3714882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      55 PUEBLA,Avenida,Av. De las Torres ,S/N,,,Col. Amalucan ,72310,Puebla, Puebla,Puebla,,,19.0445595,-98.1471003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       6 COLONIA YUCATÁN,Avenida,Av. de los Cedros,S/N,,,Col. Yucatán,97710, Colonia Yucatán, Yucatán, Yucatán,,,21.1454686,-88.1496087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      53 INF. BARRAN,Avenida,Av. de los Empaques,S/N,,,Col. Infonavit Barrancos ,80176,Culiacán , Sinaloa,Sinaloa,,,24.8048499,-107.385498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      25 AIRE LIBRE,Avenida,Av. de los Pinos,15,,,Aire Libre,73960,"Aire libre, Teziutlán",Puebla,Puebla,,,19.819559,-97.358299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      22 INDEPENDECIA,Avenida,Av. de los Pinos,S/N,,,Col. San Jerónimo Lídice ,10100,México , D.F. ,D.F.,,,19.3804157,-99.2172507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF   5 TAXCO,Avenida,Av. De los plateros ,330,,,Col. Centro  ,40200,Taxco, Guerrero,Guerrero,,,18.5565468,-99.6051206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      45 MAZATLAN,Avenida,Av. del Mar ,500,,,Col. Centro ,82000,Mazatlán , Sinaloa,Sinaloa,,,23.2206582,-106.4231993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       241 TEMOAYA,Avenida,Av. del Panteón ,218,,,Col. Centro ,50850,Temoaya, Edo. de Méx. Poniente, Edo. México Poniente,,,19.4653884,-99.5940417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  4 SANTIAGO TULANTEPEC,Avenida,Av. del Trabajo ,30,,,Col. Centro ,43740,Stgo. Tulantepec Ingo , Hidalgo,Hidalgo,,,20.0932975,-98.360197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    8  MAYORAZGO,Avenida,Av. del Trabajo ,57,,,Col. Mayorazgo ,72460,Puebla, Puebla,Puebla,,,19.040812,-98.2211936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 250 LA MAGDALENA,Avenida,Av. Dr. Nicolás  San Juan,N,,,Col. La Magdalena,,,, Edo. México Poniente,,,22.1536168,-101.003287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   45 SAN LUIS POTOSI,Avenida,Av. Dr. Salvador Nava ,S/N,,,Col. Nueva Central ,78070,San Luis Potosí, San Luis Potosí,San Luis Potosí,,,22.1398183,-101.0050338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 88  MANANTIALES,Avenida,Av. Ed los Arroyos,S/N,,,Col. Manantiales,,Ramos Arizpe,Coahuila,Coahuila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   3 MAZATLAN,Avenida,Av. Ejército Mexicano ,S/N,,,Col. Adolfo López Mateos ,82149,Mazatlán , Sinaloa,Sinaloa,,,23.2244113,-106.4200898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      17 TEZOYUCA,Avenida,Av. Emiliano Zapata ,24,,,Col. Centro,,,,Morelos,,,19.3125835,-98.9202178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       3 MONTERREY,Avenida,Av. Félix U. Gómez,S/N,,,,64000,Monterrey, Nuevo León,Nuevo León,,,25.6732109,-100.309201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  20  DELICIAS,Avenida,Av. Fernando Baeza,S/N,,,Sector Oriente,,,,Chihuahua,,,28.1804946,-105.4545404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH     3 CUAUTEPEC,Avenida,Av. Francisco I. Madero,S/N,,,Col. Centro ,43740,Cuautepec de Hinojosa, Hidalgo,Hidalgo,,,20.0993263,-98.3568636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  29  MAPASTEPEC,Avenida,Av. Francisco Sarabia,S/N,,,Col. Centro ,30560,Mapastepec, Chiapas,Chiapas,,,15.4329682,-92.8978399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      11 S.R.JAUREGUI,Avenida,Av. Galeana ,13,,,Col.  ,76220,Querétaro, Querétaro,Querétaro,,,20.6061171,-100.4229083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      25 URES,Avenida,Av. García Morales,S/N,,,,,Ures,Sonora,Sonora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  28 EL COLOSO,Avenida,Av. Gran vía Coloso casa 18,S/N,,,Col. El Coloso,39810,Acapulco, Guerrero,Guerrero,,,16.863794,-99.881614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       9 RUIZ,Avenida,Av. Guadalajara ,8,,,Col.  ,63600,Ruiz, Nayarit,Nayarit,,,21.95,-105.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  178 GUADALUPE,Avenida,Av. Guadalupe ,"6215, ",,,Col. Guadalupe Tepeyac ,45510,Zapopan, Jalisco,Jalisco,,,20.6396594,-103.3117846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      10 S. GREGORIO,Avenida,Av. Guadalupe Posada ,116,,,Col. Alcanfores ,76150,Querétaro, Querétaro,Querétaro,,,20.6025754,-100.404482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH     227 IXTAPAN SAL,Avenida,Av. Gustavo Baz,S/N,,,Col. Barrio de San Pedro Ixtlahuaca ,50740,Ixtlahuaca, Edo. de Méx. Poniente, Edo. México Poniente,,,19.5696569,-99.7672105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      65 RIO HONDO,Avenida,Av. Gustavo Baz ,28,,,Col. San Bartolo Naucalpan ,53000,Naucalpan de Juárez, Edo. de Méx. Poniente, Edo. México Poniente,,,19.4767895,-99.2327079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  46 CD.JUAREZ,Avenida,Av. Henry Dunant,610,,,Col. PRONAF,,,,Chihuahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       2 SAN CAYETANO,Avenida,Av. Hércules Poniente ,25,,,Col.  ,76209,Querétaro, Querétaro,Querétaro,,,20.6014367,-100.3635517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF  27 PALAU,Avenida,Av. Hidalgo,S/N,,,Col. Zona Centro ,26350,Múzquiz, Coahuila,Coahuila,,,27.8786111,-101.5172222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF  15 TONALA,Avenida,Av. Hidalgo,S/N,,,Col. Centro ,30500,Tonalá, Chiapas,Chiapas,,,16.0930463,-93.7586776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  3 VILLA ALDAMA,Avenida,Av. Hidalgo,15,,,Col Centro,,,,Chihuahua,,,19.2426128,-103.7281818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH     8 MOCHICAHUI,Avenida,Av. Hidalgo,S/N,,,Col. Centro ,81890,Mochicahui , Sinaloa,Sinaloa,,,26.414207,-108.619199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      12 E. RAMIREZ,Avenida,Av. Hidalgo ,444,,,Col. Zona Centro ,87550,Estación Ramírez, Tamaulipas,Tamaulipas,,,25.8532364,-97.5024377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       4 CD. MENDOZA,Avenida,Av. Hidalgo ,S/N,,,Col.  ,94740,Camerino Z. Mendoza Sur, Veracruz Sur, Veracruz Sur,,,19.2601605,-96.5783387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      40 AZCAPOTZALCO,Avenida,Av. Hidalgo ,24,,,Col. Santa Bárbara ,2230,Azcapotzalco , D.F. ,D.F.,,,19.4951269,-99.1809713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       223 LERMA,Avenida,Av. Hidalgo Esquina Flores Magón,114,,,Col. La Mota ,52000,Lerma de Villada, Edo. de Méx. Poniente, Edo. México Poniente,,,19.8060959,-90.6011152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    56 S. PABLO HITZO,Avenida,Av. Huatzolotitlán,S/N,,,Col. Segunda Sección,68200,San Pablo Huitzo, Oaxaca,Oaxaca,,,17.2075,-96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       5 MONTERREY,Avenida,Av. Ignacio Morones Prieto,S/N,,,Col. Loma Larga ,64710,Monterrey, Nuevo León,Nuevo León,,,25.6659384,-100.2999137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       120 ZARAGOZA,Avenida,Av. Ignacio Zaragoza ,1812,,,Col. Cabeza de Juárez ,9227,Iztapalapa , D.F. ,D.F.,,,19.3903695,-99.044141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  8 EXPERIENCIA,Avenida,Av. Imperio Sur ,18,,,Col. Sector Hidalgo ,45142,Zapopan, Jalisco,Jalisco,,,36.7556641,-4.420584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF 83 MATAMOROS,Avenida,Av. Independencia,S/N,,,Col. Zona Centro ,27440,Matamoros, Coahuila,Coahuila,,,25.5268395,-103.2264979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  39 EL MOLINO,Avenida,Av. Independencia,207,,,,,,,Chihuahua,,,19.8431732,-97.4985199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      85 TEZOYUCA,Avenida,Av. Independencia ,S/N,,,,,,, Edo. México Oriente,,,-24.8081379,-65.4083633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   248 SN MATEO ATENCO,Avenida,Av. Independencia ,S/N,,,Barrio de Guadalupe,,San Mateo Atenco,Estado de México, Edo. México Poniente,,,19.5903627,-98.8959071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      30 TEHUACAN,Avenida,Av. Independencia Poniente esquina 2 Norte  ," 200 ,",,,"Col. Centro,   ",75700,Tehuacán, Puebla,Puebla,,,18.4556475,-97.4117746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       6 PANZACOLA,Avenida,Av. Industrias ,24,,,,90796,San Pablo Apetatitlán,Tlaxcala,Tlaxcala,,,19.1512639,-98.2153439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH  10 GUADALUPE VIC.,Avenida,Av. Insurgentes,S/N,,,Pob. Guadalupe Victoria,21720,Mexicali, Baja California Norte,Baja California,,,32.6387511,-115.4865051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       3 JIUTEPEC,Avenida,Av. Insurgentes,S/N,,,Col. Centro,,,,Morelos,,,18.8381243,-98.9431495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF       234 COLORINES,Avenida,Av. Insurgentes ,S/N,,,Col. San Diego ,52400,Tenancingo, Edo. de Méx. Poniente, Edo. México Poniente,,,18.9756311,-99.5843703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      63 S.JOAQUIN,Avenida,Av. Insurgentes ,63,,,Col.  ,76550,San Joaquín, Querétaro,Querétaro,,,20.5904404,-100.3811141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  19  COLIMA,Avenida,Av. Javier Mina  ,301,,,Col. Centro ,28000,Colima, Colima,Colima,,,19.245226,-103.733455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  42 CUAJIMALPA,Avenida,Av. Jesús del Monte,S/N,,,Col. Jesús del Monte ,5260,México , D.F. ,D.F.,,,19.3841712,-99.2941295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      57 LA MARGARITA,Avenida,Av. Juan Pablo II  S/,y 42 ,,,Col. La Margarita ,72560,Puebla, Puebla,Puebla,,,19.0046654,-98.2304174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  198 COACALCO C/UMAA,Avenida,Av. Juana maría Pavón,S/N,,,Unidad Habitacional San Rafael,,,, Edo. México Oriente,,,19.6484545,-99.080404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF   6 S.NICOLAS GARZA,Avenida,Av. Juárez,S/N,,,Col. Ciudad Iturbide ,66460,San Nicolás de los Garza, Nuevo León,Nuevo León,,,25.7510875,-100.2994988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   15  E.HERMOSILLO,Avenida,Av. Juárez ,S/N,,,Ejido Hermosillo,21834,Mexicali, Baja California Norte,Baja California,,,19.4141057,-98.1391371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH   9 LUIS B. SANCHEZ,Avenida,Av. Juárez ,S/N,,,,83500,Pob. Luis B.Sanchez, Sonora, Sonora,,,32.4518877,-114.771711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  55 VALLE BUENAVENT,Avenida,Av. Juárez ,S/N,,,,,,,Chihuahua,,,19.4141057,-98.1391371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   43 GPE DISTRITO,Avenida,Av. Juárez ,266,,,,,,,Chihuahua,,,18.6533643,-91.8270484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF    13  TAMUIN,Avenida,Av. Juárez Bravo y Carretera Valles Tampico Km. 29 ,S/N,,,Col.  ,79200,Tamuín, San Luis Potosí,San Luis Potosí,,,22.008332,-98.7808849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMFH       20 PATZCUARO,Avenida,Av. L. Cárdenas ,S/N,,,Col. Centro ,61600,Patzcuaro,Michoacán,Michoacán,,,19.5298299,-101.610185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      61 TUZANTLA,Avenida,Av. L. Cárdenas ,S/N,,,,,Tuzantla,Michoacán,Michoacán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      23 INFIERNILLO,Avenida,Av. L. Mateos,S/N,,,,60940,Infiernillo,Michoacán,Michoacán,,,18.362869,-102.294538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      33 ROSARIO,Avenida,Av. Las Culturas ,S/N,,,Col. El Rosario(Unidad Habitacional) ,2100,Azcapotzalco , D.F. ,D.F.,,,19.5102191,-99.2102767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF  53 ZAPOPAN,Avenida,Av. Laureles ,150,,,Col. Centro ,45100,Zapopan, Jalisco,Jalisco,,,20.725089,-103.3868762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF      36 MATAMOROS,Avenida,Av. Lauro Villar ,S/N,,,Col. Guillermo González ,87300,H. Matamoros, Tamaulipas,Tamaulipas,,,25.8532071,-97.4649255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMF   11  AH KIM PECH,Avenida,Av. Lavalle Urbina,S/N,,,Col. San Francisco ,24010,Campeche, Campeche,Campeche,,,19.8614558,-90.5164812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGZMF  12 LAZARO CARDENAS,Avenida,Av. Lázaro Cárdenas,154,,,Col. Centro ,60950,Lazaro Cardenas,Michoacán,Michoacán,,,17.9542161,-102.1924968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGSMF  19 CD.ALTAMIRANO,Avenida,Av. Lázaro Cárdenas ,1200,,,Col. Centro  ,40660,Pungarabato, Guerrero,Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
